Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Clint Capela,29.5,ATL,Big,620,37,14.8%,46,118.0,11,5.7%,16,0.38,90,8.8%
Keon Ellis,23.8,SAC,Combo,202,12,14.1%,44,109.8,11,12.4%,32,0.87,7,18.2%
Isaiah Joe,24.3,OKC,Wing,482,39,15.1%,84,127.8,10,6.7%,10,0.44,91,7.6%
Saddiq Bey,24.6,ATL,Forward,775,39,14.2%,67,119.5,10,5.4%,17,0.38,54,10.4%
Jabari Walker,21.3,POR,Big,431,50,16.2%,11,105.0,10,5.5%,9,0.34,61,12.0%
Matisse Thybulle,26.7,POR,Wing,582,5,10.0%,78,124.6,9,6.4%,47,0.64,28,13.4%
Landry Shamet,26.6,WAS,Combo,250,35,17.7%,88,123.8,9,11.9%,5,0.67,89,7.8%
Ivica Zubac,26.6,LAC,Big,671,44,15.3%,62,124.6,9,5.4%,10,0.35,55,12.7%
Payton Pritchard,25.8,BOS,Point,462,3,14.4%,31,107.9,9,17.2%,69,1.20,97,6.0%
Robert Covington,32.9,PHI,Forward,324,6,10.4%,43,114.3,8,5.1%,33,0.49,67,9.2%
Rudy Gobert,31.3,MIN,Big,768,36,14.6%,63,125.0,8,5.4%,13,0.37,40,15.2%
MarJon Beauchamp,22.1,MIL,Wing,360,19,12.4%,57,114.9,8,6.2%,15,0.50,9,15.3%
Seth Curry,33.2,DAL,Combo,216,21,15.4%,68,116.2,7,10.9%,12,0.71,93,7.6%
Aaron Nesmith,24.0,IND,Forward,535,33,13.9%,92,131.2,7,4.9%,13,0.35,82,7.9%
Chimezie Metu,26.6,PHX,Big,155,25,13.4%,66,125.5,7,4.8%,12,0.36,51,13.0%
Malik Beasley,26.9,MIL,Wing,726,18,12.2%,91,129.7,6,6.1%,14,0.50,90,7.6%
John Collins,26.1,UTA,Big,681,59,16.8%,35,114.8,6,4.7%,3,0.28,67,11.3%
Jose Alvarado,25.6,NOP,Point,208,34,19.9%,40,113.1,6,16.8%,6,0.84,14,14.2%
Yuta Watanabe,29.1,PHX,Forward,317,13,11.8%,19,104.8,6,3.3%,6,0.28,6,15.7%
Anthony Black,19.8,ORL,Combo,407,4,11.0%,53,113.0,5,10.1%,40,0.91,16,15.8%
Jaden McDaniels,23.1,MIN,Wing,327,34,14.0%,94,130.4,5,5.9%,6,0.42,35,12.6%
JT Thor,21.2,CHA,Big,326,3,9.6%,2,82.4,5,4.0%,19,0.42,98,6.8%
Aleksandar Vezenkov,28.2,SAC,Forward,275,38,14.0%,28,109.1,4,3.2%,3,0.23,83,7.7%
Jaxson Hayes,23.4,LAL,Big,221,7,10.5%,82,131.9,4,3.8%,13,0.37,4,23.5%
Norman Powell,30.4,LAC,Wing,600,51,16.8%,89,128.8,4,5.9%,4,0.35,66,10.2%
Justin Holiday,34.6,DEN,Combo,237,0,9.5%,96,136.7,4,9.9%,61,1.04,79,9.6%
Mitchell Robinson,25.6,NYK,Big,611,1,9.3%,22,110.2,3,3.3%,11,0.36,30,16.5%
Jaylen Nowell,24.3,MEM,Point,150,14,17.3%,3,90.6,3,15.1%,11,0.87,83,8.3%
Otto Porter,30.4,TOR,Forward,122,1,7.7%,0,87.0,3,2.9%,15,0.38,97,4.4%
Kelly Oubre,27.9,PHI,Wing,334,63,17.5%,76,123.1,3,4.2%,3,0.24,89,7.9%
Nick Richards,25.9,CHA,Big,358,21,13.0%,94,144.6,2,3.3%,2,0.25,20,17.8%
Cason Wallace,20.0,OKC,Combo,515,2,10.5%,100,140.7,2,7.9%,19,0.75,72,10.0%
Jonathan Isaac,26.1,ORL,Forward,242,56,17.0%,54,117.3,1,2.5%,1,0.15,56,10.4%
Garrison Mathews,27.0,ATL,Wing,112,1,7.4%,100,142.9,1,1.1%,1,0.15,8,15.4%
Taylor Hendricks,19.9,UTA,Big,127,45,15.3%,7,95.7,1,3.0%,1,0.19,72,10.8%
Chris Boucher,30.8,TOR,Big,303,57,16.7%,30,112.1,0,2.3%,0,0.14,87,9.2%
Jamal Cain,24.6,MIA,Forward,110,11,11.8%,22,106.1,0,1.3%,0,0.11,92,6.7%
Jevon Carter,28.1,CHI,Point,374,17,17.7%,9,97.1,0,13.9%,3,0.79,54,11.0%
Caleb Houstan,20.8,ORL,Wing,115,0,6.2%,86,128.6,0,0.0%,0,0.00,99,0.0%
Matt Ryan,26.5,NOP,Combo,278,5,12.9%,91,126.9,0,6.1%,0,0.47,4,18.7%
