Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Nickeil Alexander-Walker,25.2,MIN,Wing,546,38,14.8%,37,110.7,70,14.4%,91,0.97,10,15.3%
Herbert Jones,25.1,NOP,Forward,716,47,15.8%,76,122.0,69,12.1%,79,0.76,18,13.4%
Jalen Duren,20.0,DET,Big,403,56,16.6%,74,128.5,69,12.8%,70,0.77,5,23.4%
Jamal Murray,26.7,DEN,Point,375,69,27.7%,49,115.6,69,28.9%,37,1.04,66,10.2%
Donovan Mitchell,27.1,CLE,Combo,757,96,32.2%,67,116.0,68,24.2%,18,0.75,77,9.8%
Luke Kennard,27.4,MEM,Wing,170,44,15.8%,42,111.9,68,14.3%,82,0.90,87,7.9%
Santi Aldama,22.8,MEM,Big,462,73,19.6%,16,107.8,68,12.8%,50,0.65,85,9.5%
Trey Murphy III,23.4,NOP,Forward,173,53,16.9%,96,136.8,68,11.2%,64,0.66,100,2.9%
Jonas Valanciunas,31.5,NOP,Big,741,68,19.0%,72,127.8,67,12.5%,52,0.66,66,11.3%
Bogdan Bogdanovic,31.2,ATL,Wing,665,76,20.9%,80,125.2,67,13.0%,43,0.62,82,8.6%
Kris Dunn,29.6,UTA,Combo,208,54,20.6%,28,105.6,67,24.0%,75,1.17,5,18.5%
Jerami Grant,29.6,POR,Forward,743,86,25.2%,57,117.9,67,11.0%,22,0.44,36,11.6%
Danilo Gallinari,35.2,WAS,Big,351,66,18.7%,48,120.0,66,12.3%,54,0.66,96,7.3%
Christian Braun,22.5,DEN,Wing,534,54,17.0%,41,111.0,66,12.8%,65,0.75,71,9.5%
Tre Jones,23.8,SAS,Point,478,26,18.7%,26,106.7,66,28.9%,91,1.54,43,11.8%
Xavier Tillman,24.8,MEM,Big,236,62,17.5%,4,90.2,65,12.2%,61,0.70,77,10.3%
Tobias Harris,31.3,PHI,Forward,838,71,18.8%,78,122.2,65,10.9%,51,0.58,38,11.5%
Austin Reaves,25.4,LAL,Combo,753,72,23.3%,86,121.5,65,23.9%,60,1.03,26,14.7%
Alec Burks,32.3,DET,Wing,329,78,21.3%,24,108.5,65,12.6%,29,0.59,97,4.8%
Duop Reath,27.3,POR,Big,244,77,20.2%,32,113.0,64,12.0%,46,0.60,92,8.6%
Jalen Johnson,21.9,ATL,Forward,448,50,15.9%,94,134.2,64,10.8%,68,0.68,3,17.3%
Jakob Poeltl,28.0,TOR,Big,667,27,13.7%,93,143.3,63,11.8%,81,0.86,16,18.5%
Donte DiVincenzo,26.7,NYK,Wing,503,49,16.3%,77,123.8,63,12.1%,62,0.74,53,11.3%
Bradley Beal,30.3,PHX,Combo,151,82,26.6%,39,108.6,63,23.8%,33,0.89,23,15.1%
Mike Conley,36.1,MIN,Point,705,20,17.8%,83,124.4,63,28.8%,94,1.62,80,8.3%
Miles Bridges,25.6,CHA,Forward,501,78,21.2%,49,115.7,63,10.6%,35,0.50,51,10.5%
Jock Landale,28.0,HOU,Big,101,13,11.8%,1,72.7,63,11.8%,90,1.00,10,20.3%
Buddy Hield,30.9,IND,Wing,608,72,18.8%,54,114.0,62,12.0%,46,0.64,30,12.8%
Dwight Powell,32.3,DAL,Big,305,5,9.8%,98,152.7,62,11.7%,92,1.19,53,12.9%
Anthony Edwards,22.2,MIN,Combo,702,98,33.0%,56,113.4,61,23.6%,14,0.72,46,12.4%
Jae'Sean Tate,28.0,HOU,Forward,366,15,11.9%,58,118.5,61,9.8%,85,0.83,60,10.1%
Julian Strawther,21.5,DEN,Wing,311,62,17.5%,11,103.2,61,11.7%,53,0.67,95,6.2%
Drew Eubanks,26.7,PHX,Big,423,39,15.0%,77,129.6,61,11.5%,69,0.77,7,20.8%
Damian Lillard,33.3,MIL,Point,848,83,30.6%,89,124.6,60,28.1%,23,0.92,60,10.8%
Haywood Highsmith,26.9,MIA,Forward,345,29,13.3%,32,110.0,60,9.3%,69,0.70,10,14.6%
Dejounte Murray,27.1,ATL,Combo,858,81,25.7%,40,108.7,60,23.0%,37,0.90,81,9.6%
DeAndre Jordan,35.3,DEN,Big,152,63,17.8%,10,103.8,60,11.3%,48,0.64,21,17.6%
Grayson Allen,28.1,PHX,Wing,694,33,13.8%,95,133.0,59,11.6%,75,0.84,24,13.5%
Chet Holmgren,21.5,OKC,Big,718,76,20.1%,75,128.5,59,11.0%,39,0.55,47,13.6%
Corey Kispert,24.7,WAS,Forward,545,63,17.2%,69,120.5,58,9.1%,42,0.53,61,10.1%
Pat Connaughton,30.8,MIL,Wing,445,9,11.5%,52,113.9,58,11.6%,94,1.01,37,12.4%
Killian Hayes,22.3,DET,Combo,650,42,18.5%,14,100.0,58,22.5%,81,1.22,82,9.6%
Jarrett Allen,25.5,CLE,Big,611,42,15.1%,88,139.5,58,11.0%,64,0.73,15,18.8%
Russell Westbrook,35.0,LAC,Point,603,57,26.1%,14,99.6,57,28.1%,43,1.08,9,15.8%
Josh Green,23.0,DAL,Wing,440,28,12.9%,18,106.1,57,11.5%,78,0.89,32,12.8%
Jae Crowder,33.3,MIL,Forward,240,4,9.3%,100,140.4,57,9.0%,92,0.96,88,7.6%
PJ Washington,25.2,CHA,Big,625,67,18.8%,15,107.7,57,10.9%,45,0.58,70,11.0%
Tyler Herro,23.8,MIA,Combo,271,89,28.8%,51,113.0,56,22.0%,21,0.77,60,11.0%
Ousmane Dieng,20.4,OKC,Big,140,34,14.3%,48,120.0,56,10.8%,68,0.76,72,10.8%
Bennedict Mathurin,21.4,IND,Wing,590,81,21.7%,29,109.0,56,11.4%,20,0.52,54,11.3%
Simone Fontecchio,27.9,UTA,Forward,447,44,14.9%,75,121.8,56,8.9%,56,0.60,32,11.9%
Bismack Biyombo,31.2,MEM,Big,470,13,11.6%,34,114.1,55,10.5%,87,0.91,12,19.9%
Cameron Thomas,22.1,BKN,Wing,492,99,30.3%,33,110.1,54,11.3%,5,0.37,86,8.2%
Malachi Flynn,25.5,TOR,Combo,386,26,16.2%,42,109.1,54,21.5%,86,1.32,12,16.1%
Keyonte George,20.0,UTA,Point,590,46,23.6%,11,97.1,54,27.9%,60,1.18,11,15.2%
Tari Eason,22.5,HOU,Forward,318,54,16.9%,46,114.8,54,8.9%,40,0.53,64,9.7%
Mike Muscala,32.3,WAS,Big,147,24,13.2%,9,102.6,54,10.5%,72,0.80,19,17.8%
John Konchar,27.6,MEM,Wing,307,4,9.9%,4,91.4,53,11.3%,96,1.14,52,11.3%
Goga Bitadze,24.3,ORL,Big,482,19,12.5%,63,125.2,53,10.2%,76,0.82,57,12.5%
Isaac Okoro,22.8,CLE,Forward,409,19,12.1%,51,116.5,53,8.8%,74,0.73,33,11.7%
Markelle Fultz,25.4,ORL,Combo,143,53,20.5%,14,100.0,53,21.1%,58,1.03,88,8.5%
Jaren Jackson,24.1,MEM,Big,763,92,27.2%,31,112.2,52,10.2%,14,0.37,86,9.3%
Gary Harris,29.1,ORL,Wing,429,22,12.5%,65,118.6,52,11.0%,77,0.88,92,7.3%
Jalen Brunson,27.2,NYK,Point,886,74,28.8%,77,121.7,51,27.1%,29,0.94,74,8.9%
Aaron Wiggins,24.8,OKC,Forward,248,40,14.5%,97,138.2,51,8.3%,50,0.58,15,13.8%
Isaiah Jackson,21.8,IND,Big,192,32,14.2%,89,140.6,51,10.1%,63,0.71,51,13.0%
Derrick White,29.3,BOS,Combo,712,51,20.1%,93,128.4,51,20.6%,56,1.02,47,12.2%
Ziaire Williams,22.1,MEM,Wing,428,53,16.9%,5,98.0,51,10.9%,48,0.64,16,14.7%
Trey Lyles,28.0,SAC,Big,210,33,14.2%,24,110.6,50,10.1%,63,0.71,58,12.4%
Daniel Theis,31.6,LAC,Forward,231,61,17.2%,18,103.2,50,8.1%,29,0.47,85,7.7%
Lonnie Walker,24.9,BKN,Wing,357,87,24.2%,87,128.6,49,10.8%,11,0.45,39,12.3%
Coby White,23.7,CHI,Combo,930,60,21.4%,79,119.6,49,20.0%,42,0.93,68,10.4%
Paul Reed,24.4,PHI,Big,308,38,14.9%,69,127.3,49,9.9%,56,0.66,11,20.3%
Jacob Gilyard,25.3,MEM,Point,249,0,13.3%,66,118.4,49,26.8%,100,2.02,23,13.5%
OG Anunoby,26.3,TOR,Wing,690,65,17.6%,72,120.4,48,10.7%,41,0.61,33,12.7%
Nicolas Batum,34.9,PHI,Big,393,0,7.8%,97,151.5,48,9.8%,94,1.25,93,8.2%
Jeremy Sochan,20.5,SAS,Combo,710,49,20.0%,11,98.1,47,19.9%,53,1.00,9,16.9%
Nassir Little,23.7,PHX,Forward,296,17,12.0%,74,121.3,47,8.0%,65,0.67,42,11.0%
Marcus Morris,34.2,PHI,Forward,224,26,13.1%,90,129.6,47,8.0%,57,0.61,89,7.4%
Moritz Wagner,26.5,ORL,Big,459,72,19.5%,88,138.2,47,9.6%,31,0.49,36,16.1%
Klay Thompson,33.7,GSW,Wing,756,77,20.9%,56,114.4,47,10.5%,16,0.50,48,11.6%
Marvin Bagley,24.6,DET,Big,383,74,19.8%,52,121.5,46,9.5%,28,0.48,41,14.9%
Peyton Watson,21.1,DEN,Forward,393,36,13.9%,21,105.8,46,8.0%,49,0.57,29,12.0%
Tyrese Maxey,23.0,PHI,Point,881,63,27.0%,80,122.5,46,26.3%,34,0.97,100,5.7%
Dru Smith,25.8,MIA,Combo,126,9,13.5%,77,119.4,46,19.2%,91,1.42,39,13.0%
AJ Green,24.1,MIL,Wing,123,23,12.6%,47,113.2,46,10.5%,71,0.83,99,0.0%
Trayce Jackson-Davis,23.7,GSW,Big,123,52,16.4%,56,122.7,45,9.4%,42,0.57,34,16.2%
Keegan Murray,23.2,SAC,Forward,641,57,17.1%,42,113.7,44,7.9%,26,0.46,90,7.0%
Julian Champagnie,22.3,SAS,Wing,208,41,15.3%,16,105.8,44,10.3%,54,0.68,18,14.6%
Tristan Thompson,32.6,CLE,Big,198,12,11.5%,78,130.2,44,9.3%,75,0.80,14,18.9%
Cameron Payne,29.2,MIL,Combo,422,32,17.4%,58,113.4,44,19.0%,70,1.10,40,12.5%
Daniel Gafford,25.1,WAS,Big,557,23,13.0%,91,141.3,43,8.9%,58,0.69,45,13.8%
Rui Hachimura,25.7,LAL,Forward,382,58,17.1%,44,114.4,43,7.8%,25,0.46,47,10.6%
Brandon Miller,20.9,CHA,Wing,699,73,19.3%,23,108.4,43,10.3%,23,0.53,51,11.4%
Darius Garland,23.8,CLE,Point,679,77,29.6%,51,115.6,43,26.3%,17,0.89,6,16.4%
Day'Ron Sharpe,22.0,BKN,Big,370,61,17.4%,28,111.8,42,8.9%,33,0.51,23,17.4%
